"","year","month","JNJ","ABBV","AMZN","DIS","GE","GOOG","INTU","KO","MSFT","NFLX","SBUX","TSLA","SONY","BMY","CRM","SNP","date"
"1",2015,1,-0.216846680086565,-0.401987700442678,0.792698466797506,-0.154131132362,-0.245411698962002,0.113712391955853,-0.23384750805336,-0.117471502303598,-0.729774353319421,1.34402912141377,0.400664772882161,-0.364719857999374,0.682549395876409,0.07548897480518,-0.232375631802665,0.00817649146011841,Jan 2015
"2",2015,2,0.135699813424078,0.0114117037383064,0.24040103963211,0.708760432266329,0.448386834456442,0.311701325425182,0.57879028751559,0.228261214880659,0.378021416770596,0.420749981144154,0.361174099309449,-0.178844363480331,1.13287007388484,0.0681302723744223,1.11400005959305,0.196378006702482,Feb 2015
"3",2015,3,-0.115920985192714,-0.136426445460571,-0.164039507315544,-0.0366573949334375,-0.237717962212346,-0.192087948850098,-0.0778724760693528,-0.256097988249473,-0.354532599341437,-0.65726226938494,0.0299368028458219,-0.188909178769952,-0.211544922988285,0.181071898917261,-0.103169646280278,-0.108632395959985,Mar 2015
"4",2015,4,0.00471300206300749,0.674343707243082,0.70665787962124,0.155516869847928,0.46543181865438,-0.0259550472514397,0.151983287711374,-0.0129792388688722,0.92231253603606,1.57916786084683,0.330787705432084,0.962509980054126,0.550042003966368,0.0183341256126068,0.524491616150966,0.0182995221479553,Apr 2015
"5",2015,5,0.0416435100171337,0.185962079467183,0.0839004163071181,-0.00548261360231775,-0.00469744696323371,-0.051231629892054,0.190084277433756,0.00750007828641407,-0.15596151458293,0.609757111671962,0.192855455927715,0.555083646270211,0.00932090415552458,0.0125731037590707,-0.0273751937147857,0.0440787282272645,May 2015
"6",2015,6,-0.121480807723559,0.0271136690387455,0.0419543550833062,0.137909184702438,-0.0826823977477767,-0.118152488068475,-0.253386487854692,-0.161855531296018,-0.316319829084963,0.265502138516811,0.130979436472593,0.357676719797992,-0.364931492546076,0.00773411738766686,-0.221807529434535,-0.108411096623001,Jun 2015
"7",2015,7,0.0856978731655439,0.146237949738735,1.00031825875903,0.199683956783457,-0.0958831467622793,0.932722835678891,0.20524608463172,0.189929717917168,0.243013367216256,1.03843222284235,0.348198642352079,-0.0154951446100554,-0.00959779533008303,-0.136350499135298,0.191166745702355,0.00150541928219247,Jul 2015
"8",2015,8,-0.260108644663276,-0.535222305164597,-0.175914007304226,-0.81868629925449,-0.190425197417491,-0.0677906813473543,-0.937973037892623,-0.26805323271246,-0.303882796526719,0.208803615328601,-0.262782507922921,-0.14420476743574,-0.339343144423208,-0.45501339438408,-0.184882692360831,-0.294660822450699,Aug 2015
"9",2015,9,0.0746986294571396,-0.507942081867898,0.170177378784623,0.143559033113586,0.334161171086226,0.100833206872737,0.281962871494917,0.221190265173591,0.29551360608182,-0.0758824239600027,0.314819437216593,0.215427208193995,-0.0526949633717853,0.139830718280441,0.225333287795782,0.0258691203481556,Sep 2015
"10",2015,10,0.391038276980247,0.480085258781303,0.895914108792996,0.492420824294305,0.671784495849269,0.738920643196252,0.461663387788668,0.299967698490534,0.818041039746686,0.156084385390511,0.411468284202265,-0.671895231819484,0.67951755183289,0.46510896318582,0.311967265426815,0.374038757146787,Oct 2015
"11",2015,11,-0.00674840142698355,-0.442745519956102,0.309595070204762,-0.0639782869448308,0.0998436923982085,0.160622875754927,0.156674758835177,0.0925528706488979,0.148520717553335,0.763518173386912,-0.0490422892644179,0.447549606922407,-0.562563480252385,0.105070883863539,0.0423431526376067,-0.0337220525021201,Nov 2015
"12",2015,12,0.0220251956132226,0.0328702054031394,-0.0101906326821378,-0.403025893175876,0.191732344274879,-0.0437658595622809,-0.243799991038889,0.0132564193202257,0.0326046531720692,-0.412073175937036,-0.0935531360558047,0.0770998221308614,-0.288201214826957,0.074165677465609,-0.146946327877477,-0.0845619661824278,Dec 2015
"13",2016,1,0.227602237222659,-0.161959563990267,-0.389139970283385,-0.379642849173276,-0.282367791496453,0.0286581533846756,0.102275631325823,0.0714839619782398,0.0570641954883882,-0.91294287941708,0.25694629092776,-0.843562233773268,-0.0707982155362441,-0.400810665881241,-0.642667398535802,-0.192254287999886,Jan 2016
"14",2016,2,0.085892364935269,0.0485451175009707,-0.172191127602678,0.0331734615525687,0.145429326145729,-0.377110509251865,0.0390037626652754,0.0205893801638184,-0.329124467669407,0.0151281200553304,-0.244135886526629,-0.0292527671613136,-0.496012995852264,0.110154966215991,0.0812467844711432,-0.012594880536173,Feb 2016
"15",2016,3,0.0444182667945916,0.0772859986048689,0.127012023351182,0.08385467769017,0.298495574334653,0.17465364251857,0.245076477737947,0.324736463844785,0.242207010326347,0.206613869934322,-0.0232898073757624,1.02521327229303,0.852526007553887,0.0103386710604394,0.257815742587136,0.193654316871562,Mar 2016
"16",2016,4,0.13193486774581,0.357606935324143,0.51582891506133,0.213540685577256,-0.186065735592489,-0.382201165754396,-0.166583418091923,-0.212224553182523,-0.52288989527475,-0.741780367505316,-0.398966698299167,0.0899265221321247,-0.128519390256769,0.535960711684737,0.00903126017878794,-0.0161309662017751,Apr 2016
"17",2016,5,0.0341784662512803,0.129066416530327,0.28645079826941,-0.245677466232693,-0.103331312882234,0.266651055155514,0.221471851588391,-0.0397313877887402,0.273275382198207,0.503654832155939,-0.198675814131825,-0.373416221914474,0.624500550190863,-0.013468016654731,0.411389492476602,0.039499363180783,May 2016
