Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,59.360001,59.900002,59.360001,59.810001,46.915867,3589300
2014-12-30,59.410000,59.720001,59.189999,59.389999,46.876400,3458900
2014-12-31,59.299999,60.139999,58.959999,59.029999,46.592255,4352300
2015-01-02,59.430000,59.930000,59.299999,59.509998,46.971123,4887700
2015-01-05,59.360001,59.400002,58.040001,58.580002,46.237076,5928800
2015-01-06,58.869999,59.500000,58.110001,58.480000,46.158138,6039900
2015-01-07,59.150002,59.540001,58.820000,59.240002,46.758003,6278400
2015-01-08,59.830002,61.070000,59.830002,60.720001,47.926159,8405100
2015-01-09,60.869999,60.919998,60.090000,60.320000,47.610458,3904900
2015-01-12,64.230003,64.440002,61.980000,62.180000,49.078548,14173800
2015-01-13,62.560001,63.540001,62.310001,63.119999,49.820484,12833600
2015-01-14,62.040001,63.150002,61.740002,62.950001,49.686302,5500300
2015-01-15,63.000000,63.299999,61.480000,61.630001,48.644428,9095600
2015-01-16,61.389999,62.400002,61.250000,62.310001,49.181145,6846800
2015-01-20,62.549999,63.099998,62.009998,62.450001,49.291653,7137800
2015-01-21,62.189999,62.520000,61.770000,61.950001,48.897015,4942200
2015-01-22,62.189999,62.490002,61.369999,62.090000,49.007511,9247500
2015-01-23,62.150002,62.490002,61.759998,62.070000,48.991726,3741300
2015-01-26,61.830002,62.650002,61.669998,62.459999,49.299541,4908400
2015-01-27,61.860001,62.990002,61.000000,61.990002,48.928577,7767500
2015-01-28,62.419998,62.849998,61.169998,61.330002,48.407650,6294900
2015-01-29,61.200001,61.310001,60.270000,61.139999,48.257671,6394600
2015-01-30,60.770000,61.340000,60.169998,60.270000,47.570984,8227100
2015-02-02,60.709999,60.740002,59.240002,60.230000,47.539417,6929000
2015-02-03,60.599998,60.770000,59.189999,59.860001,47.247368,7309100
2015-02-04,59.509998,59.750000,58.759998,59.240002,46.758003,7261900
2015-02-05,59.410000,60.330002,59.279999,60.230000,47.539417,3895200
2015-02-06,59.980000,60.279999,59.439999,59.669998,47.097408,4356600
2015-02-09,59.320000,59.750000,58.650002,58.849998,46.450180,3965600
2015-02-10,59.169998,59.910000,59.130001,59.830002,47.223690,5403300
2015-02-11,59.619999,59.959999,58.849998,59.310001,46.813259,4103800
2015-02-12,59.650002,59.759998,59.230000,59.480000,46.947445,4557700
2015-02-13,59.709999,60.049999,59.459999,60.040001,47.389446,5163200
2015-02-17,60.080002,60.450001,59.779999,60.099998,47.436794,4479400
2015-02-18,60.060001,60.060001,58.840000,60.009998,47.365761,6787700
2015-02-19,59.650002,59.990002,58.970001,59.549999,47.002686,4252400
2015-02-20,59.320000,60.560001,59.279999,60.520000,47.768322,6660500
2015-02-23,60.480000,61.490002,60.340000,61.290001,48.376060,5763200
2015-02-24,61.150002,61.500000,60.639999,61.450001,48.502354,4622700
2015-02-25,61.369999,61.480000,60.700001,61.220001,48.320827,4937400
2015-02-26,61.189999,61.610001,60.750000,61.459999,48.510250,3981500
2015-02-27,61.240002,61.549999,60.869999,60.919998,48.084023,3990300
2015-03-02,61.119999,62.459999,61.040001,62.299999,49.173260,6553300
2015-03-03,62.250000,62.250000,61.340000,61.919998,48.873314,4236200
2015-03-04,61.750000,65.919998,61.180000,65.669998,51.833195,17454500
2015-03-05,65.989998,67.180000,65.690002,66.050003,52.133118,12553700
2015-03-06,66.209999,66.209999,64.870003,65.120003,51.399086,6529100
2015-03-09,65.250000,66.550003,65.070000,66.360001,52.377804,7412200
2015-03-10,65.779999,66.500000,64.949997,65.529999,51.722691,6378000
2015-03-11,66.110001,66.300003,65.430000,65.599998,51.777931,4816000
