Date,Open,High,Low,Close,Adj Close,Volume
2015-04-17,164.534912,166.336395,161.652557,163.634186,143.087891,14620418
2015-04-20,164.054520,164.775116,162.192993,162.253052,141.880188,10272736
2015-04-21,162.313095,162.493240,159.430740,159.851074,139.779800,12801544
2015-04-22,160.331467,162.253052,159.730972,161.592499,141.302475,7836252
2015-04-23,160.811859,162.553299,160.391525,161.232208,140.987488,6355751
2015-04-24,161.412354,161.772659,160.331467,160.931961,140.724930,4615212
2015-04-27,161.892746,162.132950,160.992020,161.412354,141.145050,6031334
2015-04-28,161.832703,163.093735,159.971176,162.853546,142.405258,6399182
2015-04-29,161.832703,163.634186,161.532455,162.673386,142.247711,6187256
2015-04-30,162.493240,164.234665,161.952805,162.613342,142.195160,7158292
2015-05-01,162.673386,164.054520,162.072906,163.994476,143.402908,4713349
2015-05-04,164.294724,165.795959,163.634186,163.754272,143.192871,4363369
2015-05-05,163.634186,164.294724,161.232208,161.652557,141.355072,5053736
2015-05-06,162.132950,163.213837,159.791031,160.992020,140.777481,4623039
2015-05-07,160.811859,162.853546,160.091278,162.373138,141.985153,5168791
2015-05-08,163.634186,165.075363,163.454025,164.294724,143.665451,6198496
2015-05-11,163.634186,163.934433,161.292267,161.652557,141.355072,5404465
2015-05-12,161.052063,162.673386,160.631714,162.313095,141.932602,4960895
2015-05-13,162.253052,163.574127,161.652557,163.393982,142.877838,6189987
2015-05-14,164.054520,164.715073,163.033691,164.594971,143.928024,4492330
2015-05-15,164.414825,164.775116,163.634186,163.754272,143.192871,5956562
2015-05-18,163.393982,164.474869,163.393982,163.994476,143.402908,3745176
2015-05-19,163.754272,164.474869,163.393982,164.234665,143.612961,4854483
2015-05-20,164.174622,166.336395,163.333939,165.976105,145.135696,6690110
2015-05-21,166.216293,166.876846,165.435654,166.456497,145.555832,6713007
2015-05-22,166.276352,166.816788,165.856003,166.216293,145.345779,3878367
2015-05-26,165.255508,165.615799,164.414825,165.255508,144.505600,7904380
2015-05-27,165.555756,165.856003,164.895218,165.255508,144.505600,4217672
2015-05-28,165.135406,165.916046,163.934433,165.916046,145.083206,4399439
2015-05-29,165.135406,165.135406,163.754272,163.754272,143.192871,6937806
2015-06-01,163.694229,164.174622,162.553299,163.814331,143.245392,5549179
2015-06-02,163.454025,164.655014,163.033691,164.114578,143.507904,4383952
2015-06-03,164.715073,165.495712,164.294724,165.315552,144.558121,4380788
2015-06-04,164.655014,165.856003,163.393982,163.694229,143.140350,5555524
2015-06-05,163.694229,164.414825,163.093735,163.874374,143.297882,5103761
2015-06-08,164.054520,164.294724,163.393982,163.574127,143.035309,4964726
2015-06-09,163.814331,164.955261,163.153793,164.114578,143.507904,5181398
2015-06-10,164.294724,166.216293,164.054520,165.916046,145.083206,5524749
2015-06-11,165.555756,165.976105,164.294724,165.195465,144.453125,5227110
2015-06-12,164.775116,165.015320,163.814331,164.474869,143.823013,3692070
2015-06-15,164.474869,164.474869,162.793488,163.393982,142.877838,4745889
2015-06-16,163.153793,163.574127,162.132950,163.454025,142.930344,4591149
2015-06-17,163.273880,164.534912,162.793488,163.754272,143.192871,6086388
2015-06-18,162.613342,164.594971,162.313095,164.354767,144.940445,6274967
2015-06-19,163.754272,164.414825,163.213837,163.574127,144.251923,10036363
2015-06-22,163.934433,165.135406,163.874374,164.655014,145.205185,4580358
2015-06-23,164.655014,165.735901,164.474869,165.435654,145.893646,5414040
2015-06-24,165.435654,165.675858,163.634186,163.694229,144.357910,5405014
2015-06-25,163.814331,164.234665,162.253052,162.373138,143.192871,3887160
2015-06-26,162.373138,162.913589,161.592499,162.673386,143.457657,4292710
2015-06-29,161.532455,161.952805,159.310638,159.971176,141.074646,5557489
2015-06-30,161.052063,161.892746,159.310638,159.550827,140.703918,5921440
2015-07-01,160.151321,161.352310,158.950333,160.091278,141.180573,5067075
2015-07-02,160.331467,161.112106,159.730972,160.811859,141.816040,4330163
2015-07-06,159.310638,159.971176,157.329010,157.989548,139.327072,4639209
2015-07-07,158.409897,159.430740,155.707687,158.950333,140.174393,5436722
2015-07-08,156.668472,157.569214,155.407440,155.467484,137.102936,5334072
2015-07-09,157.148865,158.529999,156.188080,156.248123,137.791367,5064410
2015-07-10,158.469940,158.770187,156.368225,157.749359,139.115250,4223167
2015-07-13,159.070435,159.310638,157.569214,158.950333,140.174393,4050776
2015-07-14,158.229752,160.511627,158.229752,160.091278,141.180573,3712720
2015-07-15,159.791031,160.871918,159.730972,160.751816,141.763107,4650367
2015-07-16,162.012848,162.373138,161.172165,162.373138,143.192871,5101713
2015-07-17,163.694229,164.114578,162.313095,163.574127,144.251923,6859537
2015-07-20,162.853546,163.393982,162.192993,162.973633,143.722443,4111059
2015-07-21,162.192993,163.033691,160.931961,161.232208,142.186707,4876381
2015-07-22,161.412354,161.892746,159.550827,159.911133,141.021652,4018935
2015-07-23,159.610886,159.730972,157.329010,157.689301,139.062286,3863696
2015-07-24,157.989548,158.049606,154.146393,154.626801,136.361572,5183113
2015-07-27,153.365753,156.007919,153.245667,155.827774,137.420685,6041209
2015-07-28,156.728516,157.569214,155.827774,156.728516,138.215042,4622590
2015-07-29,156.668472,157.809402,156.428268,157.689301,139.062286,3994705
2015-07-30,157.509155,157.569214,156.188080,156.848618,138.320938,3683460
2015-07-31,157.509155,157.869446,156.428268,156.728516,138.215042,3863080
2015-08-03,156.848618,156.908661,153.726059,155.347382,136.997025,5425597
2015-08-04,155.467484,156.488327,155.107193,155.527527,137.155945,3661195
2015-08-05,156.668472,158.109650,156.308167,156.728516,138.215042,4241752
2015-08-06,157.028763,157.208908,155.887833,156.308167,137.844299,2880669
2015-08-07,155.827774,156.488327,153.786102,154.866989,136.573318,4315825
2015-08-10,155.527527,157.929504,155.527527,157.569214,138.956406,3909991
2015-08-11,156.308167,156.308167,153.966248,154.386597,136.149734,4702025
